emetteur,report_year,status,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url
AIR LIQUIDE CI,2020,ok,AIR LIQUIDE CI : Etats financiers exercice 2019,https://www.brvm.org/sites/default/files/20200915_-_etats_financiers_exercice_2019_-_air_liquide_ci.pdf,,-26523307.0,0.0,4913500095.0,17351927849.0,-561666552.0,22511460273.0,1746851198.0,,,-0.0053980475195248775,-0.0015285510192764287,-0.1143108865656794,0.2831673885321721,12.88687914504324,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci
AIR LIQUIDE CI,2021,missing_report,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci
AIR LIQUIDE CI,2022,missing_report,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci
AIR LIQUIDE CI,2023,missing_report,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci
AIR LIQUIDE CI,2024,missing_report,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci
AIR LIQUIDE CI,2025,missing_report,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci
BANK OF AFRICA BF,2020,missing_report,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf
BANK OF AFRICA BF,2021,ok,BOA BURKINA FASO : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220314_-_etats_financiers_exercice_2021_-_boa_bf.pdf,19852081801.0,17607918915.0,,39607918915.0,,,29273485678.0,,,,0.44455551812220223,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf
BANK OF AFRICA BF,2022,ok,BOA BURKINA FASO : Etats financiers exercice 2022,https://www.brvm.org/sites/default/files/20230223_-_etats_financiers_exercice_2022_-_boa_bf.pdf,0.0,21244692497.0,,43244692497.0,,,19025636976.0,,,,0.4912670496725997,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf
BANK OF AFRICA BF,2023,ok,BOA BURKINA FASO : Etats financiers certifiés - Exercice 2023,https://www.brvm.org/sites/default/files/20240301_-_etats_financiers_certifies_-_exercice_2023_-_boa_bf.pdf,29304006229.0,25476935672.0,,47476935672.0,,,60859489249.0,,,,0.5366171028393747,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf
BANK OF AFRICA BF,2024,ok,BOA BURKINA FASO : Etats financiers certifiés par les Commissaires Aux Comptes - Exercice 2024,https://www.brvm.org/sites/default/files/20250416_-_etats_financiers_certifies_par_les_commissaires_aux_comptes_-_exercice_2024_-_boa_bf.pdf,34234427341.0,29062589535.0,,51062589535.0,,,14638108510.0,,,,0.5691562022149216,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf
BANK OF AFRICA BF,2025,ok,BOA BF - Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260323_-_etats_financiers_-_exercice_2025_-_boa_bf.pdf,15377664544.0,13193925209.0,,54074844931.0,,,297593229165.0,,,,0.24399376874470136,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf
