emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
AIR LIQUIDE CI,2020,,,missing_report,nearest_report_is_different_fiscal_year,fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60]; fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci,missing_or_error,missing_report
AIR LIQUIDE CI,2021,,,missing_report,no_candidate_for_fiscal_year,fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60]; fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci,missing_or_error,missing_report
AIR LIQUIDE CI,2022,,,missing_report,no_candidate_for_fiscal_year,fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60]; fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci,missing_or_error,missing_report
AIR LIQUIDE CI,2023,,,missing_report,no_candidate_for_fiscal_year,fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60]; fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci,missing_or_error,missing_report
AIR LIQUIDE CI,2024,,,missing_report,no_candidate_for_fiscal_year,fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60]; fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci,missing_or_error,missing_report
AIR LIQUIDE CI,2025,,,missing_report,no_candidate_for_fiscal_year,fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60]; fy=2019 pub=2020 title=AIR LIQUIDE CI : Etats financiers exercice 2019 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/air-liquide-ci,missing_or_error,missing_report
BANK OF AFRICA BF,2020,2021.0,2021-03-11,ok,,,5,BANK OF AFRICA BURKINA FASO : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210311_-_etats_financiers_exercice_2020_-_boa_bf.pdf,,17608.0,,84435.0,867213104267.0,867213019832.0,25160448690.0,,,,0.2085391129271037,2.0304121228521935e-08,10270776.571706044,9.736361176341717e-08,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2021,2022.0,2022-03-14,ok,,,7,BOA BURKINA FASO : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220314_-_etats_financiers_exercice_2021_-_boa_bf.pdf,19852081801.0,21244692497.0,47367496842.0,39607918915.0,988180921512.0,948573002597.0,29273485678.0,,0.4191076819452591,0.4485078147123593,0.5363748734840592,0.0214987883640718,23.949074543216252,0.0400816470473813,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2022,2023.0,2023-02-23,ok,,,7,BOA BURKINA FASO : Etats financiers exercice 2022,https://www.brvm.org/sites/default/files/20230223_-_etats_financiers_exercice_2022_-_boa_bf.pdf,0.0,25476935672.0,50828241839.0,43244692497.0,1073229476522.0,1029984784025.0,19025636976.0,,0.0,0.5012358238299678,0.5891343931689976,0.0237385724389184,23.817599907698565,0.0402939850637931,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
BANK OF AFRICA BF,2023,2024.0,2024-03-01,ok,,,7,BOA BURKINA FASO : Etats financiers certifiés - Exercice 2023,https://www.brvm.org/sites/default/files/20240301_-_etats_financiers_certifies_-_exercice_2023_-_boa_bf.pdf,29304006229.0,29062589535.0,56645788278.0,47476935672.0,1163299866414.0,1115822930742.0,60859489249.0,,0.5173201242285659,0.5130582593779047,0.6121412244417441,0.0249828873655669,23.50242101661308,0.0408122935820089,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
