publication_status,core_metrics_present,missing_core_metrics,all_metrics_present,missing_all_metrics,has_all_core_metrics,has_all_metrics,balance_sheet_gap_pct,suspicious_flags,emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
review,5,3,9,6,False,False,0.0,,BANK OF AFRICA BF,2020,2021.0,2021-03-11,ok,,,5,BANK OF AFRICA BURKINA FASO : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210311_-_etats_financiers_exercice_2020_-_boa_bf.pdf,,17608.0,,84435.0,867213104267.0,867213019832.0,25160448690.0,,,,0.2085391129271037,2.0304121228521935e-08,10270776.571706044,9.736361176341717e-08,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bf,verified_like,passes_rule_checks
review,6,2,10,5,False,False,0.0,,BANK OF AFRICA SN,2025,2026.0,2026-03-17,ok,,,6,BOA SN : Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260317_-_etats_financiers_-_exercice_2025_-_boa_sn.pdf,24723.0,21905.0,,88621.0,783173.0,694552.0,35262.0,,,,0.2471761772040487,0.0279695546194774,7.837329752541723,0.1131563524278799,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-sn,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,BERNABE CI,2021,2022.0,2022-05-03,ok,,,8,BERNABE CI : Etats financiers Exercice 2021,https://www.brvm.org/sites/default/files/20220503_-_etats_financiers_exercice_2021_-_bernabe_ci.pdf,2656681.0,1598214.0,44428368.0,8922.0,27842423.0,27833501.0,36253828.0,17355320.0,0.0597969522535691,0.0359728270910153,179.1318090114324,0.0574021161879481,3119.6481730553687,0.0003204462485179,2.0889172887621776,https://www.brvm.org/fr/rapports-societe-cotes/bernabe-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,BERNABE CI,2024,2025.0,2025-04-30,ok,,,8,BERNABE CÔTE D'IVOIRE : Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250430_-_etats_financiers_-_exercice_2024_-_bernabe_ci.pdf,1193257549.0,7313440.0,45312422329.0,2974139.0,15923363159.0,15920389020.0,41860285515.0,14288081045.0,0.026334004841677,0.0001614003318317,2.459010826326544,0.0004592899079781,5352.940471175019,0.0001867783187698,2.9297346076888804,https://www.brvm.org/fr/rapports-societe-cotes/bernabe-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,BOLLORE TRANSPORT & LOGISTICS,2023,2024.0,2024-06-13,ok,,,8,AFRICA GLOBAL LOGISTICS CI (ex AFRICA GLOBAL LOGISTICS CI ) : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240613_-_etats_financiers_-_exercice_2023_-_africa_global_logistics_ci.pdf,547366.0,17138527.0,82623385.0,712820.0,96698627.0,95985807.0,114812236.0,-1552125.0,0.0066248314566148,0.2074294946884589,24.043274599478128,0.1772365082288086,134.65644482478044,0.0073715627834095,-73.97099846983974,https://www.brvm.org/fr/rapports-societe-cotes/bollore-transport-logistics,verified_like,passes_rule_checks
review,6,2,9,6,False,False,0.03137108841009201,,CIE CI,2020,2021.0,2021-06-04,ok,,,6,CIE CI : Etats financiers exercice 2020,https://www.brvm.org/sites/default/files/20210604_-_etats_financiers_exercice_2020_-_cie_ci.pdf,,,722628.0,5858.0,1237732.0,1193045.0,-856.0,1003709.0,,,,,203.660805735746,0.004732850083863,-0.0008528368282041,https://www.brvm.org/fr/rapports-societe-cotes/cie-ci,verified_like,passes_rule_checks
review,6,2,11,4,False,False,0.0,,ECOBANK CI,2021,2022.0,2022-03-17,ok,,,6,ECOBANK CI : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220317_-_etats_financiers_exercice_2021_-_ecobank_ci.pdf,,34304.0,90545.0,128527.0,1677707.0,1549180.0,31959.0,,,0.3788613396653598,0.2669011180530161,0.0204469552788418,12.053342877372067,0.0766087284609291,,https://www.brvm.org/fr/rapports-societe-cotes/ecobank-ci,verified_like,passes_rule_checks
review,6,2,11,4,False,False,0.0,,ECOBANK CI,2022,2023.0,2023-04-05,ok,,,6,ECOBANK CI : Etats financiers exercice 2022,https://www.brvm.org/sites/default/files/20230405_-_etats_financiers_exercice_2022_-_ecobank_ci.pdf,,44598.0,99155.0,144829.0,1901235.0,1756406.0,36336.0,,,0.449780646462609,0.3079355653909092,0.0234573842791659,12.127446851114073,0.0761762748950024,,https://www.brvm.org/fr/rapports-societe-cotes/ecobank-ci,verified_like,passes_rule_checks
review,7,1,13,2,False,False,0.3049596295032771,,FILTISAC CI,2021,2022.0,2022-05-06,ok,,,7,FILTISAC CI : Etats financiers Exercice 2021,https://www.brvm.org/sites/default/files/20220506_-_etats_financiers_exercice_2021_-_filtisac_ci.pdf,1048574.0,1276336.0,41473743.0,32271934.0,53741474.0,5080560.0,34869938.0,,0.0252828397957715,0.0307745553614488,0.0395494115722968,0.0237495532779767,0.1574296724825974,0.6005033282116528,,https://www.brvm.org/fr/rapports-societe-cotes/filtisac-ci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.0,extreme_roe,NESTLE CI,2020,2021.0,2021-04-20,ok,,,8,NESTLE CÔTE D'IVOIRE : Etats Financiers - Exercice 2020,https://www.brvm.org/sites/default/files/20210420_-_etats_financiers_2020_-_nestle_ci.pdf,27076473678.0,20899537493.0,173224766894.0,1043156491.0,62617078194.0,61573921703.0,53398162616.0,45150107155.0,0.1563083279804249,0.1206498231617704,20.034901448933223,0.3337673697940541,59.02654322169194,0.016659296809859,1.182680750517036,https://www.brvm.org/fr/rapports-societe-cotes/nestle-ci,verified_like,passes_rule_checks
