emetteur,fiscal_year,report_year,publication_date,status,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale
AIR LIQUIDE CI,2011,2011,,ok,733925298.0,512437278.0,4962842544.0,2269998541.0,5964304987.0,3694306446.0,2968195220.0,2881937332.0,0.14788405868070595,0.1032547926831829,0.22574343936549693,0.08591734981979049,1.6274488195805408,0.38059732792802603,1.0299305217508457
AIR LIQUIDE CI,2012,2012,,ok,1298490585.0,971482821.0,6812143516.0,1070905136.0,6330511167.0,5259606031.0,6436914393.0,4585606716.0,0.1906140970092856,0.14261044540800305,0.9071604835407195,0.15346040712544565,4.911365025893386,0.16916566573367203,1.403721424809602
AIR LIQUIDE CI,2013,2013,,ok,,946913703.0,8000160205.0,4970802209.0,11995491454.0,7024689245.0,10076457324.0,6026918017.0,,0.11836184260512568,0.19049514810417192,0.07893913364293578,1.4131902557461022,0.4143892084840295,1.6719088090426235
AIR LIQUIDE CI,2014,2014,,ok,,840671395.0,8058890382.0,5200093604.0,11120168454.0,5920074850.0,3108064755.0,5250595449.0,,0.10431602306909254,0.1616646658731953,0.07559880036687797,1.1384554396186597,0.4676272329426351,0.5919451965380318
AIR LIQUIDE CI,2016,2016,,ok,-121898110.0,69103740.0,7587239092.0,8037234963.0,16984520333.0,8947285370.0,13050283270.0,7408409436.0,-0.01606620122575676,0.009107890124731026,0.00859794945875343,0.004068630649859166,1.1132292898228662,0.47320941689381063,1.7615499497887093
AIR LIQUIDE CI,2017,2017,,ok,-974423080.0,-990908826.0,7530357170.0,6263646370.0,18479955915.0,12216309545.0,11802659674.0,8947592801.0,-0.12939931772187108,-0.13158855597814892,-0.15819999525292486,-0.05362073538258222,1.9503510931764176,0.33894271170397433,1.3190877073307261
AIR LIQUIDE CI,2018,2018,,ok,,-81836547.0,7446826835.0,6014113974.0,16167773415.0,10153659441.0,11088116363.0,629841539.0,,-0.01098945212682658,-0.013607415382181449,-0.00506170793586669,1.6883051243950369,0.37198158457739616,17.604612710372535
AIR LIQUIDE CI,2019,2019,,ok,,-26523307.0,7170432956.0,5091362263.0,11325982468.0,6234620205.0,10316827179.0,1414154349.0,,-0.0036989826364398405,-0.0052094715775285625,-0.0023418107060414355,1.2245485359209844,0.4495294141046873,7.295403918458692
BANK OF AFRICA BF,2020,2020,,ok,,,,,,,25160448690.0,,,,,,,,
BANK OF AFRICA BF,2021,2021,,ok,,,,,,,29273485678.0,,,,,,,,
BANK OF AFRICA BF,2022,2022,,ok,,,,,,,19025636976.0,,,,,,,,
BANK OF AFRICA BF,2023,2023,,ok,,,,,,,60859489249.0,,,,,,,,
BANK OF AFRICA BF,2024,2024,,ok,,,,,,,14638108510.0,,,,,,,,
BANK OF AFRICA BF,2025,2025,,ok,25697260383.0,22419223685.0,,,,,,,,,,,,,
BANK OF AFRICA BN,2012,2012,,ok,,,,,,,56772299476.0,,,,,,,,
BANK OF AFRICA BN,2013,2013,,ok,,,,,,,80077472496.0,,,,,,,,
BANK OF AFRICA BN,2015,2015,,ok,,,,,,,112552034891.0,,,,,,,,
BANK OF AFRICA BN,2017,2017,,ok,,,,,,,60262262966.0,,,,,,,,
BANK OF AFRICA BN,2018,2018,,ok,,,,,,,42466065915.0,,,,,,,,
BANK OF AFRICA BN,2020,2020,,parsed_but_empty,,,,,,,,,,,,,,,
BANK OF AFRICA BN,2021,2021,,ok,,,,,,,3.054045761227541e+21,,,,,,,,
BANK OF AFRICA BN,2022,2022,,ok,,,,,,,27541120277.0,,,,,,,,
BANK OF AFRICA BN,2023,2023,,ok,,,,,,,1.1786412898139641e+21,,,,,,,,
BANK OF AFRICA BN,2024,2024,,ok,,,,,,,13964053208.0,,,,,,,,
BANK OF AFRICA BN,2025,2025,,ok,,,,,,,12623737146.0,,,,,,,,
BANK OF AFRICA CI,2015,2015,,ok,,,,,,,53071.0,,,,,,,,
BANK OF AFRICA CI,2017,2017,,ok,,,,,,,46454.0,,,,,,,,
BANK OF AFRICA CI,2018,2018,,parsed_but_empty,,,,,,,,,,,,,,,
BANK OF AFRICA CI,2019,2019,,ok,,,,,,,28879.0,,,,,,,,
BANK OF AFRICA CI,2020,2020,,ok,,,,,,,16717.0,,,,,,,,
BANK OF AFRICA CI,2021,2021,,ok,,,,,,,101496.0,,,,,,,,
BANK OF AFRICA CI,2022,2022,,ok,,,,,,,80992.0,,,,,,,,
BANK OF AFRICA CI,2023,2023,,ok,,,,81726.0,,,48364.0,,,,,,,,
BANK OF AFRICA CI,2024,2024,,ok,,,,95800.0,,,37416.0,,,,,,,,
BANK OF AFRICA ML,2019,2019,,ok,,,,87800094.0,,,12900514764.0,,,,,,,,
BANK OF AFRICA ML,2020,2020,,ok,,,,,,,8265839309.0,,,,,,,,
BANK OF AFRICA ML,2021,2021,,ok,,,,,,,20910556581.0,,,,,,,,
BANK OF AFRICA ML,2022,2022,,ok,,,,,,,10134938935.0,,,,,,,,
BANK OF AFRICA ML,2023,2023,,ok,,,,,,,15691636772.0,,,,,,,,
BANK OF AFRICA ML,2024,2024,,ok,,,,,,,7189556291.0,,,,,,,,
BANK OF AFRICA ML,2025,2025,,ok,,,,,,,7191947436.0,,,,,,,,
BANK OF AFRICA SN,2018,2018,,ok,,,,,,,17410697061.0,,,,,,,,
BERNABE CI,2019,2019,,ok,944286.0,423125.0,41285545.0,18690.0,20101143.0,20082453.0,34316655.0,16579444.0,0.022872073022167927,0.010248744445543833,22.639111824505083,0.021049798013973633,1074.5025682182986,0.0009297978726881352,2.069831473238789
BERNABE CI,2020,2020,,ok,1527.0,630.0,39472.0,15414.0,48231.0,32817.0,0.0,14305.0,0.03868565058775841,0.015960680989055533,0.04087193460490463,0.013062138458667662,2.1290385363954845,0.3195869876220688,0.0
BERNABE CI,2021,2021,,ok,2656681.0,1598214.0,44428368.0,8922.0,27842423.0,27833501.0,36253828.0,17355320.0,0.05979695225356916,0.03597282709101536,179.1318090114324,0.05740211618794815,3119.6481730553687,0.00032044624851795405,2.0889172887621776
BERNABE CI,2022,2022,,ok,3017.0,1809.0,2022.0,0.0,20027.0,20027.0,43566.0,17779.0,1.4920870425321464,0.8946587537091988,,0.09032805712288411,,0.0,2.4504190336914338
BERNABE CI,2024,2024,,ok,1570524418.0,7313440.0,81837965.0,2974139.0,17424063434.0,17421089295.0,44627418469.0,15788781320.0,19.190658247672705,0.08936488095714501,2.4590108263265438,0.00041973217256137315,5857.523570687181,0.00017069146994704403,2.826527112163461
BICI CI,2019,2019,,ok,11740.0,9793.0,,65092.0,,,2115.0,,,,0.15044859583358938,,,,
BICI CI,2020,2020,,ok,4664.0,4672.0,,62819.0,,,6990.0,,,,0.07437240325379264,,,,
BICI CI,2022,2022,,ok,11036.0,9603.0,,71522.0,847724.0,776202.0,6840.0,,,,0.13426637957551524,0.011327979389518286,10.852632756354689,0.08436944099730573,
BICI CI,2023,2023,,ok,14004.0,12391.0,,74313.0,926252.0,851939.0,6872.0,,,,0.16674067794329392,0.013377568955316695,11.464198727006043,0.08022978627846418,
BICI CI,2024,2024,,ok,15540.0,16694.0,,83574.0,920563.0,836989.0,10163.0,,,,0.19975111876899515,0.018134554614947593,10.01494483930409,0.09078574741761292,
BICI CI,2025,2025,,ok,28769.0,26226.0,,99783.0,,,44542.0,,,,0.2628303418417967,,,,
BOLLORE TRANSPORT LOGISTICS,2018,2018,,ok,3835243.0,10408503.0,89298914.0,822152.0,94882635.0,94060483.0,89199939.0,85042835.0,0.042948372250081336,0.11655800203796432,12.660071373663264,0.10969871357387999,114.40765576195156,0.008664936423825076,1.0488824719919085
BOLLORE TRANSPORT LOGISTICS,2019,2019,,ok,4093959.0,938277610408503.0,88182968.0,-10070531.0,81881714.0,91952245.0,84508750.0,-2463033.0,0.04642573382197796,10640122.822907288,-93170619.34554425,11458939.54306456,-9.130823886049306,-0.1229887664540095,-34.310847641911415
BOLLORE TRANSPORT LOGISTICS,2021,2021,,ok,,1394234213454872.0,8724886.0,-5443530.0,170881121.0,176324651.0,2888672.0,8849506.0,,159799705.51533532,-256126853.98167586,8159088.641833477,-32.39160085459252,-0.031855654785878894,0.3264218364279317
BOLLORE TRANSPORT LOGISTICS,2022,2022,,ok,722915.0,10044129.0,86997124.0,-7076589.0,92924206.0,100000795.0,45670.0,6910392.0,0.008309642511860508,0.11545357522393498,-1.4193461002186223,0.10808947885979246,-14.131214205035787,-0.07615441987204066,0.006608887021170434
BOLLORE TRANSPORT LOGISTICS,2023,2023,,ok,547366.0,17138527.0,82623385.0,712820.0,96698627.0,95985807.0,114812236.0,-1552125.0,0.006624831456614856,0.20742949468845898,24.043274599478128,0.17723650822880868,134.65644482478044,0.007371562783409531,-73.97099846983974
CIE CI,2018,2018,,ok,6976049.0,4929701.0,587236382.0,-1988000.0,928358908.0,896206733.0,818799029.0,685858075.0,0.011879456406023562,0.008394747245071065,-2.4797288732394365,0.005310124088344505,-450.8082157947686,-0.002141413178533318,1.1938315795144645
CIE CI,2020,2020,,ok,22875.0,17183.0,,0.0,1254783.0,42.0,15061.0,24.0,,,,0.013694001273526976,,0.0,627.5416666666666
CIE CI,2021,2021,,ok,16805.0,10511.0,,0.0,558201.0,50010.0,2007.0,2154.0,,,,0.018830134664753376,,0.0,0.9317548746518106
CIE CI,2022,2022,,ok,17172.0,109611.0,,38284.0,524294.0,453444.0,2330.0,409011.0,,,2.863102079197576,0.20906399844362133,11.844216905234562,0.07302009940987308,0.00569666830476442
CROWN SIEM CI,2018,2018,,ok,336187242.0,-74527864.0,14549587328.0,-473564480.0,20201694.0,616222.0,12200446.0,0.0,0.023106307720015082,-0.005122335247033063,0.15737638093127254,-3.689188837332156,-0.0013012420188270877,-23.441820275071983,
CROWN SIEM CI,2019,2019,,ok,1021450951.0,690339770.0,18685566239.0,2579559770.0,18107897642.0,15528337872.0,14350869660.0,,0.054665239358283706,0.036945081629859405,0.26761921860798754,0.03812368413209965,6.0197627721570495,0.14245495645043255,
CROWN SIEM CI,2020,2020,,ok,1127530810.0,736547004.0,19629605607.0,6228056683.0,18119926284.0,11351664351.0,13717453375.0,10387927968.0,0.057440319106458144,0.03752225178367029,0.11826273290197671,0.04064845477050176,1.82266554862696,0.34371313577028234,1.3205187230077644
CROWN SIEM CI,2021,2021,,ok,2822883834.0,2383609190.0,23056648977.0,5795669420.0,34167069773.0,28371400353.0,18622332953.0,13703831985.0,0.12243252854375969,0.10338055596794456,0.41127418029995233,0.06976334833031571,4.895275816645871,0.16962734757488446,1.3589142783845944
CROWN SIEM CI,2022,2022,,ok,3260942191.0,3857786280.0,29602761049.0,12037064890.0,32641610848.0,19772522423.0,28163239833.0,19772522423.0,0.11015669064119804,0.1303184616331698,0.3204922724313734,0.11818614889946133,1.6426365234124778,0.36876442605887905,1.424362518372449
CROWN SIEM CI,2023,2023,,ok,1460428832.0,1012055129.0,27874878137.0,13049120019.0,30745259764.0,16741603893.0,26600691927.0,16741603893.0,0.05239229476886879,0.03630706918343935,0.07755734697254761,0.03291743627370577,1.2829680368196175,0.42442705376909434,1.588897461498434
FILTISAC CI,2018,2018,,ok,2260417.0,1682581.0,43898979.0,2482295.0,56064645.0,29438769.0,36832706.0,25173487.0,0.051491334228980584,0.038328476842251845,0.6778328119744027,0.03001144482409547,11.859496554599675,0.04427558579921446,1.4631547071726694
FILTISAC CI,2019,2019,,ok,2192357.0,1855141.0,40436698.0,1683029.0,51051574.0,24253586.0,31622760.0,20509226.0,0.054217013466331995,0.04587765796307107,1.102263240859189,0.03633856617231821,14.410676227207018,0.03296723035415128,1.541879737441091
FILTISAC CI,2020,2020,,ok,30688.0,3551668.0,39020184.0,1882970.0,53788997.0,25322311.0,35010903.0,21546060.0,0.000786464769105138,0.09102130323116878,1.886205303324004,0.0660296379945512,13.448069273541268,0.0350066018148656,1.6249329575801794
FILTISAC CI,2021,2021,,ok,1048574.0,1276336.0,41473743.0,32271934.0,53741474.0,5080560.0,34869938.0,,0.02528283979577151,0.03077455536144881,0.03954941157229684,0.023749553277976707,0.15742967248259743,0.6005033282116528,
FILTISAC CI,2022,2022,,ok,203064.0,153483.0,45464126.0,29719262.0,60742819.0,31023557.0,36634076.0,25908048.0,0.00446646659390307,0.0033759144517591737,0.005164428376451609,0.0025267678143156315,1.043887193430308,0.48926379264683123,1.4140037103528602
